"Language","HashType","CPU","RAM","Time"
"Python","SHA2","0,1094","8","0,589"
"Python","SHA2","0,1406","7,98","0,5611"
"Python","SHA2","0,1406","7,99","0,5635"
"Python","SHA2","0,1094","7,99","0,518"
"Python","SHA2","0,1094","7,99","0,561"
"Python","SHA2","0,1094","7,98","0,5617"
"Python","SHA2","0,125","7,99","0,5638"
"Python","SHA2","0,125","7,97","0,5656"
"Python","SHA2","0,1406","7,99","0,5155"
"Python","SHA2","0,125","8","0,5158"
"Python","SHA2","0,1406","8","0,5748"
"Python","SHA2","0,1094","7,99","0,5927"
"Python","SHA2","0,1094","7,99","0,5618"
"Python","SHA2","0,1094","8","0,5163"
"Python","SHA2","0,1094","7,99","0,5649"
"Python","SHA2","0,1406","7,98","0,5677"
"Python","SHA2","0,1094","8","0,5612"
"Python","SHA2","0,1094","8","0,577"
"Python","SHA2","0,1406","7,99","0,5133"
"Python","SHA2","0,1094","8","0,5134"
"Python","SHA2","0,1094","8","0,5621"
"Python","SHA2","0,125","8","0,5922"
"Python","SHA2","0,125","8","0,5139"
"Python","SHA2","0,125","7,99","0,5755"
"Python","SHA2","0,125","7,99","0,5771"
"Python","SHA2","0,1562","8,46","0,5901"
"Python","SHA2","0,125","7,99","0,5137"
"Python","SHA2","0,1406","8","0,5804"
"Python","SHA2","0,1094","7,99","0,5632"
"Python","SHA2","0,1094","7,98","0,5627"
"Python","SHA2","0,1094","7,98","0,5629"
"Python","SHA2","0,1406","7,98","0,5634"
"Python","SHA2","0,1406","8","0,5089"
"Python","SHA2","0,125","8","0,5624"
"Python","SHA2","0,1094","7,98","0,5758"
"Python","SHA2","0,125","8","0,5748"
"Python","SHA2","0,0938","7,99","0,5162"
"Python","SHA2","0,1094","8","0,5601"
"Python","SHA2","0,1406","8","0,5599"
"Python","SHA2","0,1094","7,99","0,5625"
"Python","SHA2","0,1094","7,99","0,5747"
"Python","SHA2","0,125","8","0,5728"
"Python","SHA2","0,1094","8","0,5773"
"Python","SHA2","0,1094","7,99","0,5632"
"Python","SHA2","0,0781","7,98","0,5772"
"Python","SHA2","0,125","7,99","0,5604"
"Python","SHA2","0,1094","7,98","0,5823"
"Python","SHA2","0,1406","7,98","0,5153"
"Python","SHA2","0,125","8","0,5126"
"Python","SHA2","0,125","8","0,5157"
"Python","SHA2","0,1094","8","0,514"
"Python","SHA2","0,1094","8","0,5646"
"Python","SHA2","0,125","8","0,5631"
"Python","SHA2","0,125","8","0,561"
"Python","SHA2","0,1406","8","0,5647"
"Python","SHA2","0,125","7,98","0,5775"
"Python","SHA2","0,125","7,99","0,5775"
"Python","SHA2","0,125","7,98","0,5785"
"Python","SHA2","0,1094","8","0,5141"
"Python","SHA2","0,1094","8","0,5642"
"Python","SHA2","0,1406","7,98","0,5768"
"Python","SHA2","0,1406","8","0,5787"
"Python","SHA2","0,125","8","0,5737"
"Python","SHA2","0,1094","8","0,5599"
"Python","SHA2","0,125","8","0,5132"
"Python","SHA2","0,1406","8","0,5952"
"Python","SHA2","0,1406","8","0,5779"
"Python","SHA2","0,125","7,99","0,5755"
"Python","SHA2","0,1094","7,98","0,5615"
"Python","SHA2","0,1406","7,99","0,515"
"Python","SHA2","0,125","7,99","0,5726"
"Python","SHA2","0,125","7,99","0,5585"
"Python","SHA2","0,125","8","0,5605"
"Python","SHA2","0,1094","8","0,559"
"Python","SHA2","0,125","8","0,5949"
"Python","SHA2","0,1094","7,98","0,5741"
"Python","SHA2","0,125","7,98","0,5787"
